"CODCLI";"dcadastro_dias";"d1";"d2";"d3";"dmedia";"ddesvio";"freq";"tgasto";"Y";"VL_DEV";"QT_DEV";"COMPROU";"r";"f";"v";"rfv";"cluster"
7864;679;17;62;36;38.3333333333333;22.5905584998099;24;9934.456;NA;23036;5;"N";1;2;2;5;"silver customers"
7876;678;173;22;13;69.3333333333333;89.8906743401858;27;69710.27;15;0;0;"S";3;2;4;9;"diamond customers"
7883;666;3;14;21;12.6666666666667;9.07377172587747;47;23033.82;25;828;1;"S";3;3;3;9;"diamond customers"
7899;672;14;13;16;14.3333333333333;1.52752523165195;46;23455.308;37;0;0;"S";3;3;3;9;"diamond customers"
7902;672;12;27;7;15.3333333333333;10.4083299973307;20;14026.15;25;32976;2;"S";2;2;2;6;"silver customers"
7904;672;6;16;4;8.66666666666667;6.42910050732864;73;45859.614;35;1109036;2;"S";2;3;3;8;"gold customers"
7910;672;359;194;112;221.666666666667;125.802755666692;4;943.625;NA;0;0;"N";3;1;1;5;"silver customers"
7912;671;7;7;23;12.3333333333333;9.23760430703401;9;8598.426;NA;68032;2;"N";3;1;2;6;"silver customers"
7915;671;2;26;20;16;12.4899959967968;32;40473.802;44;49577;4;"S";3;3;3;9;"diamond customers"
7917;671;20;15;12;15.6666666666667;4.04145188432738;20;71189.345;30;7156;1;"S";2;2;4;8;"gold customers"
7919;670;42;179;11;77.3333333333333;89.3998508574446;23;10462.324;20;33819;2;"S";3;2;2;7;"gold customers"
7924;667;171;324;2;165.666666666667;161.066238961905;7;2880.94;38;0;0;"S";2;1;1;4;"bronze customers"
7938;665;56;179;24;86.3333333333333;81.8311269220541;21;14289.725;49;0;0;"S";2;2;2;6;"silver customers"
7949;660;14;19;14;15.6666666666667;2.88675134594813;35;32071.04;30;253745;2;"S";3;3;3;9;"diamond customers"
7957;664;17;6;15;12.6666666666667;5.85946527708232;9;6819.391;NA;0;0;"N";3;1;2;6;"silver customers"
7961;644;7;7;9;7.66666666666667;1.15470053837925;64;102838.228;21;28526;7;"S";2;3;4;9;"diamond customers"
7967;660;28;68;74;56.6666666666667;25.0066657780147;10;4077.294;NA;0;0;"N";3;1;1;5;"silver customers"
7971;660;147;220;35;134;93.1826164045634;8;2703.887;47;0;0;"S";2;1;1;4;"bronze customers"
7980;658;134;41;46;73.6666666666667;52.3099735550816;22;12827.468;42;39614;3;"S";2;2;2;6;"silver customers"
7990;657;46;63;31;46.6666666666667;16.0104132780304;15;28118.116;31;56748;2;"S";2;2;3;7;"gold customers"
7991;653;315;42;62;139.666666666667;152.172051748451;16;21106.489;NA;191776;1;"N";1;2;3;6;"silver customers"
7993;631;534;28;28;196.666666666667;292.139236209951;4;4204.25;NA;0;0;"N";1;1;1;3;"bronze customers"
7994;652;29;26;8;21;11.3578166916005;42;38320.413;44;0;0;"S";2;3;3;8;"gold customers"
8001;652;568;27;13;202.666666666667;316.465374619931;5;1429.51;NA;0;0;"N";2;1;1;4;"bronze customers"
8004;652;15;486;45;182;263.698691691863;7;2632.244;NA;0;0;"N";3;1;1;5;"silver customers"
8014;236;13;42;30;28.3333333333333;14.5716619962629;8;5498.01;36;0;0;"S";3;1;1;5;"silver customers"
8016;645;10;111;314;145;154.825708459545;8;2601.764;56;777;1;"S";2;1;1;4;"bronze customers"
8018;642;35;28;35;32.6666666666667;4.04145188432738;22;7030.599;34;25651;1;"S";3;2;2;7;"gold customers"
8023;632;7;5;7;6.33333333333333;1.15470053837925;102;55026.463;3;11851;2;"S";2;4;3;9;"diamond customers"
8029;644;48;35;37;40;7;18;8030.848;42;160;1;"S";2;2;2;6;"silver customers"
8044;642;36;47;37;40;6.08276253029822;12;2993.902;32;0;0;"S";2;2;1;5;"silver customers"
8045;617;5;7;8;6.66666666666667;1.52752523165195;57;25665.109;1;27464;5;"S";3;3;3;9;"diamond customers"
8051;580;7;79;21;35.6666666666667;38.1750354725878;23;44190.597;NA;1158795;5;"N";2;2;3;7;"gold customers"
8054;639;8;4;6;6;2;43;90272.17;14;0;0;"S";3;3;4;10;"diamond customers"
8056;638;37;314;153;168;139.107871811771;8;4918.05;44;99578;2;"S";2;1;1;4;"bronze customers"
8065;638;24;81;29;44.6666666666667;31.5647482697603;9;6111.307;112;0;0;"S";1;1;2;4;"bronze customers"
8066;637;101;17;27;48.3333333333333;45.8839114868527;19;8899.244;NA;0;0;"N";1;2;2;5;"silver customers"
8068;638;5;10;4;6.33333333333333;3.21455025366432;102;87781.797;7;364902;4;"S";3;4;4;11;"diamond customers"
8070;635;22;18;13;17.6666666666667;4.50924975282289;33;13717.776;29;0;0;"S";2;3;2;7;"gold customers"
8071;622;76;2;50;42.6666666666667;37.5410886008029;9;3624.74;NA;874;1;"N";1;1;1;3;"bronze customers"
8078;630;45;74;42;53.6666666666667;17.6729548557487;17;40764.443;NA;2039;2;"N";3;2;3;8;"gold customers"
8088;637;43;35;27;35;8;10;3613.91;NA;558;1;"N";1;1;1;3;"bronze customers"
8093;635;33;85;203;107;87.1091269615303;7;3468.894;74;0;0;"S";1;1;1;3;"bronze customers"
8098;618;26;24;24;24.6666666666667;1.15470053837925;21;4544.03;35;0;0;"S";2;2;1;5;"silver customers"
8099;631;221;28;126;125;96.5038859321219;7;7219.601;NA;0;0;"N";2;1;2;5;"silver customers"
8102;631;168;28;1;65.6666666666667;89.6455985162313;10;6399.434;119;0;0;"S";1;1;2;4;"bronze customers"
8110;630;40;41;37;39.3333333333333;2.08166599946613;21;29528.734;55;2475;1;"S";1;2;3;6;"silver customers"
8111;630;18;87;281;128.666666666667;136.36104037933;16;25870.201;10;0;0;"S";3;2;3;8;"gold customers"
8123;628;308;34;10;117.333333333333;165.557643536423;12;41249.693;54;790794;2;"S";2;2;3;7;"gold customers"
8131;623;11;11;20;14;5.19615242270663;26;17345.526;17;32854;2;"S";3;2;2;7;"gold customers"
8132;621;43;20;14;25.6666666666667;15.3079500042734;40;150686.319;42;520628;2;"S";2;3;4;9;"diamond customers"
8135;623;1;7;5;4.33333333333333;3.05505046330389;126;283294.071;6;328526;8;"S";3;4;4;11;"diamond customers"
8137;624;32;8;13;17.6666666666667;12.6622799421484;47;18786.834;NA;0;0;"N";1;3;2;6;"silver customers"
8142;623;13;1;25;13;12;27;8728.27;14;96505;2;"S";3;2;2;7;"gold customers"
8143;623;61;8;266;111.666666666667;136.258333078507;4;2734.48;332;0;0;"S";1;1;1;3;"bronze customers"
8146;622;51;7;40;32.6666666666667;22.8983259941275;6;14465.203;370;103939;5;"S";1;1;2;4;"bronze customers"
8150;622;56;12;67;45;29.1032644217105;22;7365.226;NA;0;0;"N";1;2;2;5;"silver customers"
8154;617;69;72;133;91.3333333333333;36.1155552820849;7;3049.095;83;0;0;"S";1;1;1;3;"bronze customers"
8163;71;5;2;5;4;1.73205080756888;5;9448.3;NA;2034;1;"N";1;1;2;4;"bronze customers"
8164;617;82;20;23;41.6666666666667;34.9618840072061;10;7854.857;270;0;0;"S";1;1;2;4;"bronze customers"
