"CODCLI";"dcadastro_dias";"d1";"d2";"d3";"dmedia";"ddesvio";"freq";"tgasto";"Y";"VL_DEV";"QT_DEV";"COMPROU";"r";"f";"v";"rfv";"cluster"
9582;159;15;19;15;16.3333333333333;2.3094010767585;5;1444.68;NA;0;0;"N";1;1;1;3;"bronze customers"
9583;149;7;7;7;7;0;14;8951.63;21;0;0;"S";2;2;2;6;"silver customers"
9585;166;13;14;14;13.6666666666667;0.577350269189626;16;8264.27;14;0;0;"S";3;2;2;7;"gold customers"
9587;166;5;24;95;41.3333333333333;47.4376784142451;6;1673.77;37;99;1;"S";1;1;1;3;"bronze customers"
9589;163;42;28;28;32.6666666666667;8.08290376865476;6;3069.58;28;0;0;"S";3;1;1;5;"silver customers"
9592;162;20;42;1;21;20.5182845286832;7;1777.65;7;0;0;"S";3;1;1;5;"silver customers"
9593;141;13;5;16;11.3333333333333;5.68624070307733;11;5564.8;10;568;2;"S";3;2;1;6;"silver customers"
9595;161;7;10;12;9.66666666666667;2.51661147842358;14;7044.26;7;0;0;"S";3;2;2;7;"gold customers"
9601;155;22;6;8;12;8.71779788708135;12;5655.19;8;45;1;"S";3;2;1;6;"silver customers"
9609;148;9;14;55;26;25.2388589282479;5;1569.13;76;0;0;"S";1;1;1;3;"bronze customers"
9610;155;27;57;35;39.6666666666667;15.5349069303081;7;3684.49;NA;99;1;"N";3;1;1;5;"silver customers"
9611;155;24;14;14;17.3333333333333;5.77350269189626;6;1780.38;NA;0;0;"N";1;1;1;3;"bronze customers"
9615;155;24;4;14;14;10;6;3734.95;NA;0;0;"N";2;1;1;4;"bronze customers"
9616;156;40;9;7;18.6666666666667;18.5022521151706;9;4192.46;36;55;1;"S";3;1;1;5;"silver customers"
9617;147;21;28;30;26.3333333333333;4.72581562625261;5;1640.8;56;0;0;"S";1;1;1;3;"bronze customers"
9620;155;46;47;1;31.3333333333333;26.2741951985847;4;1261.75;75;0;0;"S";1;1;1;3;"bronze customers"
9642;147;26;34;23;27.6666666666667;5.68624070307733;6;2509.27;23;589;1;"S";3;1;1;5;"silver customers"
9648;139;9;6;21;12;7.93725393319377;23;135639.77;13;1310727;6;"S";3;2;4;9;"diamond customers"
9652;140;7;14;7;9.33333333333333;4.04145188432738;11;3527.75;29;42;1;"S";3;2;1;6;"silver customers"
9655;139;28;15;11;18;8.88819441731559;5;2035.55;NA;0;0;"N";2;1;1;4;"bronze customers"
9662;132;23;27;27;25.6666666666667;2.3094010767585;7;3724;34;0;0;"S";2;1;1;4;"bronze customers"
9670;126;43;15;14;24;16.4620776331543;7;12348.26;20;0;0;"S";3;1;2;6;"silver customers"
9673;125;46;6;57;36.3333333333333;26.8390263112009;4;2553.95;NA;0;0;"N";2;1;1;4;"bronze customers"
9677;121;35;13;7;18.3333333333333;14.742229591664;7;3914.96;32;19697;1;"S";2;1;1;4;"bronze customers"
9678;121;30;18;20;22.6666666666667;6.42910050732864;5;1406.15;70;0;0;"S";2;1;1;4;"bronze customers"
9680;107;7;5;10;7.33333333333333;2.51661147842358;6;1238.44;NA;161;1;"N";2;1;1;4;"bronze customers"
9683;121;14;28;28;23.3333333333333;8.08290376865476;6;2180.42;14;0;0;"S";3;1;1;5;"silver customers"
9686;120;14;27;15;18.6666666666667;7.23417813807024;8;4665.18;23;0;0;"S";3;1;1;5;"silver customers"
9703;112;28;28;1;19;15.5884572681199;8;3136.85;36;1782;1;"S";3;1;1;5;"silver customers"
9704;112;31;10;13;18;11.3578166916005;12;13459.98;24;13342;2;"S";2;2;2;6;"silver customers"
9705;112;31;10;15;18.6666666666667;10.9696551146029;8;10927.09;23;0;0;"S";2;1;2;5;"silver customers"
9706;112;6;5;2;4.33333333333333;2.08166599946613;15;18755.75;9;32614;1;"S";2;2;2;6;"silver customers"
9707;97;6;2;43;17;22.6053091109146;5;5938.84;14;0;0;"S";3;1;1;5;"silver customers"
9710;107;38;48;1;29;24.7588368062799;4;5397.65;46;0;0;"S";2;1;1;4;"bronze customers"
9715;106;8;13;14;11.6666666666667;3.21455025366432;8;6713.96;22;0;0;"S";2;1;2;5;"silver customers"
9718;105;7;7;21;11.6666666666667;8.08290376865476;11;3666.25;19;0;0;"S";2;2;1;5;"silver customers"
9724;100;7;1;29;12.3333333333333;14.742229591664;15;7242.44;22;1968;2;"S";2;2;2;6;"silver customers"
9725;34;7;14;5;8.66666666666667;4.72581562625261;5;3905.67;6;0;0;"S";3;1;1;5;"silver customers"
9726;103;1;64;38;34.3333333333333;31.6596483450675;4;6738.01;43;0;0;"S";3;1;2;6;"silver customers"
9737;98;14;22;21;19;4.35889894354067;5;6317.72;NA;0;0;"N";1;1;2;4;"bronze customers"
9738;98;8;26;29;21;11.3578166916005;4;1134.35;75;0;0;"S";1;1;1;3;"bronze customers"
9739;84;29;1;41;23.6666666666667;20.5264057577875;4;5125.18;34;0;0;"S";3;1;1;5;"silver customers"
9743;97;2;62;12;25.3333333333333;32.1455025366432;4;2109.95;42;0;0;"S";2;1;1;4;"bronze customers"
9749;93;21;36;31;29.3333333333333;7.63762615825973;4;3130.5;NA;0;0;"N";3;1;1;5;"silver customers"
9761;86;22;15;5;14;8.54400374531753;10;16107.43;26;0;0;"S";3;1;2;6;"silver customers"
9768;83;8;11;1;6.66666666666667;5.13160143944688;7;4714.02;22;0;0;"S";2;1;1;4;"bronze customers"
9769;84;3;18;1;7.33333333333333;9.29157324317757;9;4895.75;7;125709;1;"S";3;1;1;5;"silver customers"
9772;64;14;6;15;11.6666666666667;4.93288286231625;8;9846.48;8;0;0;"S";3;1;2;6;"silver customers"
9779;70;5;2;21;9.33333333333333;10.2143689640297;5;21328.76;14;0;0;"S";3;1;3;7;"gold customers"
9781;76;29;12;13;18;9.53939201416946;4;1622;43;6174;1;"S";2;1;1;4;"bronze customers"
9790;51;7;1;27;11.6666666666667;13.6137185711081;6;39802.32;42;826272;1;"S";3;1;3;7;"gold customers"
9791;72;6;10;21;12.3333333333333;7.76745346515403;7;1650.62;14;0;0;"S";3;1;1;5;"silver customers"
9792;72;9;47;2;19.3333333333333;24.214320831552;4;7342.4;33;0;0;"S";2;1;2;5;"silver customers"
9806;68;14;14;13;13.6666666666667;0.577350269189626;5;7634.71;14;0;0;"S";3;1;2;6;"silver customers"
9811;68;49;4;3;18.6666666666667;26.2741951985847;4;7583.46;35;0;0;"S";3;1;2;6;"silver customers"
9814;64;13;23;14;16.6666666666667;5.5075705472861;4;929.31;NA;132;1;"N";2;1;1;4;"bronze customers"
9824;55;12;9;11;10.6666666666667;1.52752523165195;7;1499.23;15;0;0;"S";3;1;1;5;"silver customers"
9832;57;13;7;14;11.3333333333333;3.78593889720018;4;1679.66;28;0;0;"S";2;1;1;4;"bronze customers"
9848;49;2;4;3;3;1;14;11595;2;0;0;"S";3;2;2;7;"gold customers"
9855;51;5;9;19;11;7.21110255092798;8;6249.47;7;0;0;"S";2;1;2;5;"silver customers"
9875;42;7;29;1;12.3333333333333;14.742229591664;4;1219.4;11;0;0;"S";3;1;1;5;"silver customers"
9896;29;3;1;3;2.33333333333333;1.15470053837925;7;2738.88;14;0;0;"S";3;1;1;5;"silver customers"
9910;22;6;1;3;3.33333333333333;2.51661147842358;7;57157.12;8;0;0;"S";3;1;3;7;"gold customers"
