CODCLI;VENDAS;DATA
86;505,2;23/07/2013
462;108;19/07/2013
559;80;23/07/2013
15;382,58;24/07/2013
1054;859,06;24/07/2013
824;574,8;11/07/2013
142;377,6;12/07/2013
294;278,24;23/07/2013
5;1007,13;26/07/2013
462;903,5;10/07/2013
174;307,2;11/07/2013
122;513;11/07/2013
120;681;11/07/2013
1054;413,219;29/07/2013
740;419,51;10/07/2013
12;272,3;11/07/2013
179;810;11/07/2013
132;192;11/07/2013
112;243,4;11/07/2013
740;215,22;31/07/2013
765;218,55;07/08/2013
96;510,993;31/07/2013
1462;225,604;07/08/2013
272;230,5;07/08/2013
123;436,006;07/08/2013
410;2141,1;07/08/2013
15;475,34;07/08/2013
150;782,5;08/08/2013
963;165,1;08/08/2013
12;430,8;08/08/2013
824;219,5;08/08/2013
112;1124;08/08/2013
684;267,288;08/08/2013
199;432;09/08/2013
1226;639,035;09/08/2013
434;85,05;09/08/2013
137;445,5;30/07/2013
123;1223,1;30/07/2013
765;400,19;30/07/2013
5;1923,47;30/07/2013
1236;358;31/07/2013
1256;338,3;12/08/2013
1480;311,98;01/08/2013
1171;357,952;12/08/2013
1167;342,293;12/08/2013
1114;150,75;12/08/2013
1054;472,563;12/08/2013
423;181,23;30/07/2013
10;2586,8;12/08/2013
1179;390,385;12/08/2013
1134;263;12/08/2013
1331;255;01/08/2013
740;594;12/08/2013
1253;388,8;31/07/2013
15;135,6;01/08/2013
672;187,091;02/08/2013
1167;199,74;05/08/2013
423;153,26;06/08/2013
1144;369,344;06/08/2013
1054;554,818;06/08/2013
199;452,5;06/08/2013
1220;788,612;06/08/2013
1114;356,168;06/08/2013
462;72;13/08/2013
765;278,898;13/08/2013
137;537,732;14/08/2013
1144;363,1;12/08/2013
434;603,77;31/07/2013
684;200,98;14/08/2013
434;634,111;14/08/2013
1447;359,604;08/08/2013
652;211,34;08/08/2013
459;219,6;09/08/2013
75;364,995;31/07/2013
1564;444,88;12/08/2013
739;449,505;12/08/2013
275;439;01/08/2013
559;1093;10/08/2013
1447;1075,52;01/08/2013
272;59,43;02/08/2013
740;362,89;02/08/2013
434;300;15/08/2013
434;725,255;07/08/2013
462;437,5;14/08/2013
410;840;02/08/2013
1220;709,15;12/08/2013
