CLIENTE;VL_DEV;QT_DEV
4897;1382,36;4
5525;330;2
7066;20,93;1
5563;105,34;2
9416;72,76;1
8465;691,4;1
6894;1469,04;3
6806;51;1
7073;55,76;3
7227;175,28;2
7335;301,35;1
7316;363,62;2
7845;2459,51;2
8016;77,7;1
7662;462,6;1
8502;1146,59;2
8757;352;1
9644;120;1
9656;42;1
9808;317,8;2
152;570,82;7
8423;29808;4
2014;1432,05;1
1333;2300,04;2
2893;346;1
849;178,27;5
891;13,8;1
2429;25;1
1953;111;1
2396;765,6;10
2054;32,29;1
2741;58,5;1
2236;361,7;3
3393;70;2
3584;3286,68;1
3689;778,8;2
5924;1134,66;1
4390;117,21;1
4397;8580;1
5965;4467,45;2
5141;2577,1;2
6738;571,08;1
7563;61,4;1
7578;24831,68;6
7923;623,64;2
7626;11562;1
8107;69;1
9465;18369,9;1
10030;826,5;1
2495;172;2
1892;650,97;4
1025;25,58;1
1429;380;2
3326;91,8;1
1821;260,75;2
3948;60,3;1
2827;46;1
3260;252,5;1
3910;2379,36;2
3838;430,92;1
4492;162,48;1
4177;55,09;1
4341;36;1
4448;104;1
5158;120;1
5396;53,9;1
6141;82;1
6062;285;1
6543;157;1
6708;2572,32;1
6862;185,01;1
7450;3553,5;1
7193;389,9;2
7912;680,32;2
8006;2050,6;1
8722;98,1;1
47;1082,45;1
101;642,5;1
1130;1192,03;1
812;814,69;2
1172;72,31;1
832;222,63;1
1401;467,4;1
1403;33;1
1956;2660,15;2
2917;38,71;2
2155;162,5;1
3870;1028,4;1
4324;72,54;1
4249;87,5;2
5784;6669,31;4
4956;34,1;1
5516;182,4;1
5268;6795;1
5254;18,36;1
6200;3845;1
6567;3357,36;1
6407;19015,17;1
6639;126;1
8096;703,5;1
9431;75;1
9483;747,9;2
502;6240;1
745;770,04;1
1411;55;1
2423;5521,2;2
2263;23,6;1
3222;88;1
2695;309,19;1
2995;22,2;1
3634;6988,8;1
4114;65;1
6035;842,8;1
4959;122,48;1
4953;3591,9;1
7290;447,33;1
5030;44,32;1
5660;240;1
5371;2970;1
7161;126;1
9680;161;1
183;30,24;1
462;4924,8;1
2024;267,2;1
2489;26;1
2710;946,56;2
2535;718,66;1
3304;390,66;1
3373;1191,2;1
3338;17,4;1
3829;20,39;1
3900;0;1
4104;1590;1
4454;580;1
4665;103;1
4309;13,22;1
4272;53;2
4947;248,62;1
5134;349,4;1
6682;179,8;1
7259;1674,2;2
8005;263,4;1
8101;51,98;1
8162;204,75;1
8751;375,81;1
8997;1794;1
9769;1257,09;1
39;3443,14;3
113;461,26;6
93;9583,83;9
56;554,6;1
235;126;1
179;1101,5;2
277;4378,74;3
262;2728,2;2
367;1078798,64;113
431;176;3
1863;1459,45;6
611;1786,03;13
622;20122,97;6
681;8698,7;7
1193;124,47;7
1220;10100,16;25
783;5029,95;8
1242;123,27;2
760;48738,53;21
1872;5694,19;23
2409;3108,63;5
1028;110719,68;11
2943;737,65;4
2450;12,6;1
834;24032;18
890;160,95;1
1633;3739,81;5
1576;11006,92;34
1642;3946,76;5
2436;7224;5
2821;351,36;2
1480;15109,28;7
2007;119,99;2
1457;264,03;5
3999;256,4;2
2202;633,77;2
2174;2468,69;7
2297;16981,74;4
2460;204,5;2
2679;657;1
2299;4308,45;19
2732;2629,17;4
2916;389,45;2
2811;165,26;1
3296;1776,4;3
2620;9294,69;3
3005;494,59;1
3289;2631,8;2
3044;168;1
3156;622,98;6
3954;360;1
3818;1399,46;1
3720;966,6;7
3816;2037,22;6
3782;41385,61;5
3737;959,25;1
4118;3456,06;6
3561;7950,5;2
3971;12888,55;10
3617;125032,15;37
6220;142;1
8341;24679,06;3
8068;3649,02;4
4335;4,41;1
7270;95;2
4934;878,22;1
4849;1937,49;6
5790;13,82;1
4733;2585,59;9
5827;406,86;3
5349;449,58;1
5384;14846,2;5
5899;2917,47;13
5200;3506,34;7
5771;450,22;5
8763;442,36;1
6828;12700;4
6918;4541,58;5
7233;145;1
7326;217;3
7178;3864,12;2
7853;1724,02;3
7980;396,14;3
7961;2852,6;7
8525;1095,3;3
8512;1339;1
8522;754,46;1
8750;160,12;1
8871;30,87;1
9354;872;1
9481;187,36;1
9798;882;2
116;3411,86;4
98;65,97;1
299;89;1
1755;1045,7;3
623;155;1
621;963,27;2
1155;419,62;3
718;1644,22;4
776;1071,92;2
1334;11950,39;4
950;109,59;1
2912;374,28;2
1766;76;1
1180;2657,56;2
1083;3065,15;6
884;379,86;5
1422;241,35;2
2902;3610,41;8
2170;910,91;1
2198;25,9;1
2523;1349,07;4
3181;1040,8;3
3199;627,27;1
3449;2019,55;3
3650;526,61;2
4036;198;2
3605;176,95;1
4028;284;1
4126;20159,36;4
4066;597,08;2
4378;1427,84;2
4140;136;1
4213;238;3
5872;11233,85;5
4871;21143,56;12
4596;24413,3;5
5876;1708,19;2
4555;230;1
5068;1569,2;2
4699;210,51;2
6264;2208,02;7
5293;17994;3
5758;1536,05;2
5477;381,64;2
5679;735,91;3
6260;472,77;2
7116;1968,5;2
7462;742,44;1
7954;156,56;2
8088;558;1
8374;270,35;1
8115;552,42;2
8672;6892,6;3
9362;120,23;1
9342;314,76;1
49;2037,68;5
438;196;2
521;655;1
1983;9392,15;3
1989;806,28;2
958;2163,1;4
1829;666,73;2
2038;4210,08;3
2118;257,84;1
2484;462,43;1
2643;2421,09;1
2658;5878,14;2
3828;895,4;1
4326;151,9;3
4429;232;1
4175;147;2
4968;165;1
5719;1731,93;2
5308;162,5;2
5418;3063,23;7
5603;470,12;2
5417;1380;2
6570;676,66;6
6720;3659,09;2
6321;7450;1
6327;156;1
6573;216;1
6313;54,9;1
7098;92;1
7490;91,58;1
8536;433,06;1
8945;64;1
9314;2,95;1
9106;486,09;2
8278;24772,26;1
9766;13649,4;1
530;1846,01;2
972;218,91;2
1916;1305,42;5
2815;285,6;2
1842;180;1
874;2630;1
1563;2559,82;3
1455;1545,66;1
3997;165,7;2
3046;958;1
3179;1428;3
3111;74,62;1
3263;74;1
3411;34;3
3978;25,6;1
4681;955,2;1
6253;48755,27;3
4543;741,57;3
4552;310,14;3
4529;1628;1
8437;60,6;1
5814;69,49;1
6509;356,4;1
6967;4706,5;2
7168;1139;1
8298;87,78;1
8439;2541,75;1
8544;171;1
8949;458,72;1
9281;11093,36;1
668;3683,82;3
2927;1190;1
1913;9,75;1
2220;428,5;3
2180;225;1
2773;4833,92;1
2579;55,35;1
3041;128;2
3890;400;1
3625;2886;1
6396;157,64;1
4157;89;1
5154;6093,18;1
4217;11502;1
4575;70;1
5957;6011;3
5684;122953,52;6
6370;1587,26;1
6490;78;1
6711;285,84;1
7130;940;1
7280;338,18;1
7291;74,4;1
8250;478,8;1
8547;1776,6;3
9048;422,62;1
9297;8969,59;3
8815;2108,09;2
272;59,43;2
1768;1339,4;1
1866;37,47;2
1554;1437,45;3
2327;34,45;1
2251;2935,2;1
2747;5817,27;4
2665;3564;1
3017;95,4;1
4041;16960;1
5871;1810;1
4731;89,02;1
5353;360;1
5753;66;1
7252;275,5;1
5128;528;2
5766;10528,8;1
7085;713,44;1
6112;67;1
6921;174,53;1
8029;160;1
7657;17,44;1
8314;2307;1
8402;309,66;1
8267;150;1
8924;183;1
9724;196,8;2
207;49,93;1
503;15405,6;2
757;100;1
2842;850,85;1
2130;4366,44;1
2921;2024,07;1
3144;1492,2;1
3100;101,08;1
3025;2969,64;1
4388;29,43;1
4146;62,9;1
5478;85,65;1
6027;3716,3;1
5080;92,88;1
6566;386,5;1
6907;89,9;1
6606;215,76;1
6691;332;1
7342;266,7;1
7053;4113,55;1
8249;5900;1
8476;150;1
8541;187,87;1
9843;227,7;1
9691;21,8;1
1211;137,98;1
1216;923,67;1
796;217;1
2458;549;1
892;126,6;1
1955;231,1;1
2185;337,92;1
2633;153;1
3438;75,6;1
3647;2660;1
3554;4018,08;1
5809;967,2;2
4576;175,29;1
5868;596,19;1
5501;1944;1
7989;268,12;1
7599;135,38;1
8937;1467;2
9137;5205;1
9252;163,8;2
9601;45;1
9502;89,96;1
72;15551,11;11
176;5,52;1
625;710,26;5
1114;8672,12;27
607;1039,93;8
664;7466,67;23
669;6203,24;4
678;576;1
741;64528,99;29
1227;14,33;1
1233;2433,18;9
2816;3075,48;11
1285;3803,22;4
2722;3138;5
1358;0;1
1346;1387,29;1
1365;39,83;3
1360;1245,59;4
1254;61166,37;19
1919;3752,92;3
1934;549,92;2
2952;2849,76;2
966;124,07;3
920;126,42;3
1638;1639,35;9
1454;23138,93;15
1603;1046,4;4
1608;530,82;6
1631;3341,07;9
1496;16760,4;6
2087;197,35;2
2138;1201;1
2469;1131,29;4
2511;14689,54;5
1527;583,6;3
1517;763,32;4
2221;21725,53;36
2276;2910,3;2
3956;217,45;3
3288;1465,2;1
2235;1079,32;8
2813;3044,94;7
2822;1499,22;1
3315;38,86;1
3233;250;2
3175;587,9;6
3282;2656,04;4
3133;214;1
3244;1069,97;2
3843;81,2;1
3779;457,04;6
3461;947,08;6
3772;636,21;9
3511;7024,92;4
3566;12388;2
3663;152,43;1
3697;66;1
3911;3000,45;4
6597;2923,29;7
4277;24804,84;3
4236;19,3;1
4820;3094,25;1
4589;401,63;4
4568;136,24;1
5973;3879,29;9
5422;7462,78;5
6461;150,47;2
5791;16,22;3
4900;995,58;1
6979;837,6;1
5552;528,81;2
5613;41702,24;28
5966;1467,1;8
5405;579,46;1
5459;136,31;1
5466;72,2;1
5883;2314,28;12
6852;12438;2
6629;243,5;2
6727;575,28;3
7099;32452,02;5
7345;796;1
7419;276,36;1
7467;3859,15;4
7654;559;1
8513;936,09;1
8467;413,03;2
8719;2143,4;2
9049;314,88;1
10;19989,5;19
112;7751,86;10
76;3494,05;1
182;379,09;1
1689;204,54;2
1178;1293,54;2
762;32,71;1
1889;472,6;4
1992;375;1
1171;2201,72;2
879;1852,54;5
2493;876,45;5
1646;915,51;2
3867;185,35;5
2382;183769,13;12
3173;2450,7;1
3886;95,27;1
2734;777,04;2
2616;1344,74;3
3095;149,7;1
3022;898,65;4
3836;46,5;1
3840;332,34;2
3741;2853,37;4
3495;2759,21;3
4048;29;1
4385;1877,65;2
4139;52,3;1
4189;591,87;5
8142;965,05;2
4736;1815,3;2
5768;17439,44;5
5629;15,2;2
4964;3248;1
5090;158;2
7243;288,4;2
5500;5673,8;3
5179;51,3;1
5321;1429,2;5
5437;947,25;1
5241;0;1
5732;975;1
6547;4149,91;4
6618;320;1
6785;755,25;4
6688;1392;1
7234;625,06;2
7817;723,36;3
8381;5255,54;3
8481;1394,44;2
8696;1891,83;1
8500;239,16;1
9648;13107,27;6
15;713,18;6
238;14819,6;5
1688;2050,15;2
547;65,87;1
690;164,3;2
717;405,13;2
1240;1504,74;1
1101;528,54;1
1266;18652,74;8
2465;776,08;5
1961;2965,04;8
2430;87,19;2
1493;79,8;1
1530;9,13;1
2312;78,21;1
2612;289,6;3
3059;90;1
3409;111,61;1
4121;312;1
2963;1324,08;2
3155;505,46;2
3116;193,8;3
3487;899,34;3
3715;235,47;3
3615;2276,24;4
3972;337,36;3
4453;362,4;1
4240;1546,64;5
4858;336,91;1
4766;484,64;3
4286;1134,32;2
5849;84,36;2
5987;19860;1
7388;53,4;1
6528;1350;1
6825;211,14;1
7829;8047,62;1
7717;479,08;2
7896;99,08;1
8208;556,2;1
8717;756,2;3
8723;167,67;1
8744;1155,6;1
8889;517,18;1
8788;215,8;4
117;63,01;2
608;167,51;2
1246;196;1
2709;169,82;1
2610;0;1
2661;33;1
3096;136;1
3620;7945,25;3
4070;472;1
4270;300,5;2
4389;64,47;1
4279;442,18;1
4193;300,2;3
5518;32,9;1
4496;182,74;4
5487;156;1
5530;148,5;1
6551;6899;3
7129;35,67;1
7949;2537,45;2
7741;470;1
7777;8845,2;1
8087;1002,45;4
8505;3479,55;3
9359;7532,44;9
9083;55,9;1
286;10,75;1
479;92;1
1344;70,1;1
1902;355,75;1
2055;16,25;1
2035;8607,82;3
2205;65;1
2603;0;1
2567;80,68;1
2564;22,86;1
3223;500,1;1
3267;9;1
3536;185,75;1
3568;187,2;2
4017;60,46;1
4997;135;1
6474;78,9;1
7021;193,36;1
6809;2071,84;1
6689;1750;2
7074;2800;1
7158;168;1
7039;51,6;1
8685;659,4;1
8523;455,73;1
9340;38;1
396;818;1
674;585,83;1
2491;453;1
1284;11355,4;1
1745;182;1
2233;221,4;1
3333;370;2
3455;69,75;1
3450;63,25;1
3472;608,8;1
4110;96;1
4006;1160,5;1
6367;316,16;1
4205;40,5;1
4468;50,66;1
4399;242,42;1
4547;1800;1
5100;586,8;1
4724;477,92;2
5147;444;1
5475;678,64;1
5998;342;1
6046;55,93;1
6113;167,96;1
6722;14,8;1
1559;67,16;1
2216;509,31;2
3920;1802,28;3
3057;39,8;1
2996;138;1
3707;2227,47;1
3552;1242,7;1
4467;99;1
4886;524;1
5539;405;1
6275;229;1
7303;353,3;1
7179;196,92;2
8062;68,28;1
7634;400;1
7919;338,19;2
8123;7907,94;2
8616;191,7;1
8979;18;1
9370;480;1
9961;2689,28;1
695;2748,28;1
1137;1161,2;1
772;62,68;1
821;4582,5;1
2210;1191,21;1
3623;81,6;1
3445;1456,12;1
4308;1361,12;1
5853;2715;1
5581;303;1
5816;2914,48;1
6190;118;1
6427;84;1
6532;42,7;1
6922;224;1
7102;762;1
8203;5253,75;1
8690;159,8;1
95;14173,68;8
103;40281,46;16
149;433,4;1
127;8108,66;9
199;7532,87;17
280;267,77;5
317;587,5;4
294;43922,05;18
482;12057,57;7
582;3648,34;10
543;2013,19;10
610;473,31;7
614;6,35;1
657;2877,22;3
1096;1530,22;20
1226;34866,92;13
813;164,65;2
799;9680,55;11
1816;18577,14;14
1219;12148,29;6
1857;364,51;1
933;285,56;5
2931;2557,69;18
1167;2895,73;5
965;1118,3;2
1435;796,12;6
1540;2406;1
1778;1528,94;11
1906;225,6;2
1511;3303,39;6
2509;80,78;3
2272;2660,53;9
2285;533,13;7
3964;3182,21;10
2175;2902,54;2
2369;3202,7;7
2464;413,18;2
2553;519,42;3
3087;538,73;7
3055;137,4;1
3350;2271,79;11
2975;4102,62;16
3339;2461,56;2
3413;6720,12;3
3646;248,31;2
3535;187,86;1
3727;905;1
3711;377,29;4
