CODCLI,dcadastro_dias,d1,d2,d3,dmedia,ddesvio,r,f,v,ultcompjanela,clr,clf,clv,rfv,cluster
530,3765,364,375,6,248.333333333333,209.93887999447205,128,48,81355.73,2023-09-25,3,2,1,6,mid value costumers
538,3886,7,78,13,32.6666666666667,39.3742724800514,3367,26,6346.17,2014-11-12,0,2,1,3,low value costumers
540,3327,7,644,7,219.333333333333,367.77212147379163,2654,5,1084.93,2016-10-25,0,2,1,3,low value costumers
541,3803,76,12,23,37,34.219877264537345,22,175,81625,2024-01-09,3,1,1,5,mid value costumers
543,3915,22,14,6,14,8,826,232,136255.86,2021-10-27,1,3,2,6,mid value costumers
544,1623,11,6,373,130,210.459022139703,436,26,6372.3,2022-11-21,3,2,1,6,mid value costumers
546,3926,32,1,87,40,43.55456348076513,3641,9,2710.76,2014-02-11,0,2,1,3,low value costumers
547,3908,110,360,224,231.333333333333,125.16122935371534,2381,49,16903.91,2017-07-25,2,2,1,5,mid value costumers
551,3921,13,28,39,26.6666666666667,13.051181300301263,2820,67,56380.57,2016-05-12,0,1,1,2,low value costumers
554,3880,162,216,148,175.333333333333,35.90728802532062,3157,6,1721.73,2015-06-10,0,2,1,3,low value costumers
555,3785,161,39,52,84,67,3533,4,216.7,2014-05-30,0,2,1,3,low value costumers
557,3724,6,7,22,11.6666666666667,8.962886439832502,2380,43,38190.84,2017-07-26,2,2,1,5,mid value costumers
559,3925,73,40,125,79.3333333333333,42.85246006162696,68,56,61309.57,2023-11-24,3,1,1,5,mid value costumers
562,1423,8,819,175,334,428.2417541529551,0,37,18673.48,2024-01-31,3,2,1,6,mid value costumers
565,3766,16,40,18,24.6666666666667,13.316656236958787,3561,22,1076.65,2014-05-02,0,2,1,3,low value costumers
566,3530,2856,52,46,984.666666666667,1620.6249823242063,576,4,563.28,2022-07-04,1,2,1,4,low value costumers
573,3697,1,188,70,86.3333333333333,94.5639113686259,302,13,6773.1,2023-04-04,3,2,1,6,mid value costumers
582,3795,8,7,6,7,1,497,312,155592.19,2022-09-21,3,3,2,8,high value costumers
583,3656,47,50,40,45.6666666666667,5.131601439446884,2213,37,11484.71,2018-01-09,2,2,1,5,mid value costumers
590,3865,27,239,34,100,120.42840196564929,3451,5,1263.1,2014-08-20,0,2,1,3,low value costumers
593,3107,1,6,1,2.66666666666667,2.886751345948129,1,126,163861.71,2024-01-30,3,1,2,6,mid value costumers
597,1402,48,25,391,154.666666666667,204.99349583177838,335,17,22203.829999999998,2023-03-02,3,2,1,6,mid value costumers
601,3905,4,35,1,13.3333333333333,18.823743871327334,1,102,84896.24,2024-01-30,3,1,1,5,mid value costumers
602,3190,454,35,34,174.333333333333,242.19895403022147,2550,8,2934.65,2017-02-06,2,2,1,5,mid value costumers
606,3414,14,19,14,15.6666666666667,2.886751345948129,3123,20,7771.45,2015-07-14,0,2,1,3,low value costumers
607,3921,21,36,61,39.3333333333333,20.207259421636902,974,292,95752.68,2021-06-01,1,3,1,5,mid value costumers
608,3912,13,19,29,20.3333333333333,8.082903768654761,2738,51,55689.78,2016-08-02,0,2,1,3,low value costumers
610,3921,42,14,35,30.3333333333333,14.571661996262929,239,388,125297.97,2023-06-06,3,3,2,8,high value costumers
611,3920,1,8,6,5,3.605551275463989,7,266,68429.46,2024-01-24,3,3,1,7,high value costumers
613,3864,288,103,52,147.666666666667,124.17863476996892,3135,10,2669.4,2015-07-02,0,2,1,3,low value costumers
614,3200,33,37,8,26,15.716233645501712,3109,5,800.47,2015-07-28,0,2,1,3,low value costumers
615,3892,198,73,72,114.333333333333,72.45918391296809,1743,36,7894.4,2019-04-24,2,2,1,5,mid value costumers
617,3828,53,36,30,39.6666666666667,11.930353445448855,1667,13,6820.45,2019-07-09,2,2,1,5,mid value costumers
619,3922,268,36,30,111.333333333333,135.71047613700767,3180,14,1346.4,2015-05-18,0,2,1,3,low value costumers
621,3913,23,21,19,21,2,2918,32,12649.45,2016-02-04,0,2,1,3,low value costumers
622,3906,182,69,7,86,88.72992730753249,2368,85,58476.89,2017-08-07,2,1,1,4,low value costumers
623,3920,26,21,20,22.3333333333333,3.2145502536643185,3705,11,1705,2013-12-09,0,2,1,3,low value costumers
624,3641,586,22,19,209,326.49502293296905,2718,40,12751.11,2016-08-22,0,2,1,3,low value costumers
625,3921,7,7,4,6,1.7320508075688772,2185,309,112617.55,2018-02-06,2,3,2,7,high value costumers
629,3922,31,28,28,29,1.7320508075688772,3835,4,2063.87,2013-08-01,0,2,1,3,low value costumers
630,3892,606,23,35,221.333333333333,333.18513372197947,2431,60,11584.31,2017-06-05,2,1,1,4,low value costumers
631,3922,20,9,811,280,459.8923787148467,1162,228,80521.76,2020-11-25,1,3,1,5,mid value costumers
638,2787,49,125,19,64.3333333333333,54.63820397243428,2563,6,3910.51,2017-01-24,2,2,1,5,mid value costumers
642,3925,13,1,7,7,6,2024,441,552445.28,2018-07-17,2,0,0,2,low value costumers
